2059,1942,1679
2059,1943,1679
2060,1944,1678
2059,1945,1677
2060,1942,1676
2060,1942,1677
2057,1941,1676
2059,1941,1676
2058,1944,1675
2056,1939,1676
2058,1943,1675
2053,1943,1677
2059,1944,1677
2060,1943,1677
2051,1943,1678
2060,1945,1677
2060,1944,1677
2059,1943,1679
2058,1945,1678
2059,1944,1677
2059,1944,1678
2059,1943,1679
2059,1941,1677
2057,1942,1676
2058,1944,1676
2057,1943,1676
2057,1942,1678
2060,1944,1674
2060,1943,1677
2060,1945,1678
2059,1943,1677
2057,1944,1677
2060,1944,1678
2058,1945,1678
2058,1944,1681
2060,1943,1680
2060,1944,1677
2060,1943,1678
2058,1942,1678
2060,1944,1676
2060,1942,1678
2049,1941,1676
2059,1942,1678
2057,1942,1677
2058,1943,1680
2057,1943,1679
2059,1942,1680
2059,1943,1680
2061,1944,1680
2061,1944,1678
2059,1944,1678
2058,1943,1678
2059,1943,1678
2059,1941,1678
2056,1944,1677
2059,1942,1676
2059,1942,1677
2057,1943,1676
2059,1942,1677
2056,1940,1677
2060,1942,1678
2058,1941,1678
2058,1941,1678
2059,1943,1678
2059,1943,1678
2062,1944,1680
2061,1944,1680
2060,1943,1681
2058,1942,1680
2059,1943,1679
2060,1944,1678
2058,1942,1678
2061,1942,1677
2058,1939,1677
2059,1942,1677
2059,1939,1677
2058,1943,1676
2057,1943,1676
2058,1945,1676
2059,1945,1678
2058,1943,1679
2060,1943,1677
2059,1943,1679
2065,1943,1679
2061,1943,1678
2059,1944,1678
2057,1944,1677
2057,1942,1678
2059,1943,1677
2058,1943,1677
2057,1943,1677
2057,1942,1678
2057,1944,1676
2059,1943,1676
2061,1943,1676
2053,1942,1679
2059,1943,1679
2056,1942,1678
2060,1943,1679
2060,1942,1680
2059,1945,1681
2058,1942,1681
2060,1943,1679
2060,1943,1679
2059,1941,1677
2058,1942,1678
2056,1941,1679
2057,1942,1677
2058,1943,1676
2056,1941,1675
2058,1943,1675
2058,1943,1676
2058,1943,1678
2059,1943,1678
2059,1945,1677
2059,1943,1680
2061,1943,1678
2059,1943,1679
2060,1943,1678
2061,1943,1680
2059,1943,1677
2058,1942,1677
2059,1941,1678
2059,1943,1677
2058,1940,1678
2058,1942,1678
2058,1943,1679
2060,1942,1679
2058,1943,1679
2059,1943,1678
2060,1943,1678
2059,1943,1679
2060,1943,1681
2060,1944,1680
2057,1944,1679
2058,1945,1678
2058,1944,1678
2057,1943,1679
2059,1943,1677
2058,1942,1678
2056,1943,1678
2056,1941,1678
2058,1941,1678
2059,1943,1679
2059,1943,1676
2059,1942,1678
2060,1942,1677
2059,1942,1678
2062,1943,1677
2062,1942,1678
2060,1944,1679
2061,1944,1679
2059,1944,1679
2059,1943,1678
2059,1943,1678
2057,1944,1677
2059,1945,1675
2058,1942,1677
2058,1942,1677
2059,1943,1675
2057,1944,1678
2058,1943,1679
2059,1942,1679
2058,1942,1682
2058,1943,1681
2062,1944,1679
2061,1944,1680
2058,1944,1680
2060,1944,1680
2058,1944,1679
2059,1941,1679
2060,1944,1677
2056,1942,1678
2056,1942,1678
2059,1941,1677
2058,1942,1678
2057,1941,1677
2058,1943,1678
2059,1943,1678
2059,1943,1679
2058,1943,1679
2059,1943,1681
2059,1943,1678
2058,1945,1680
2059,1946,1678
2059,1945,1679
2058,1945,1680
2058,1944,1679
2057,1941,1677
2058,1942,1676
2058,1941,1678
2059,1942,1678
2059,1943,1675
2059,1941,1676
2059,1943,1677
2059,1943,1677
2059,1943,1676
2061,1943,1678
2059,1944,1678
2060,1943,1678
2062,1945,1679
2059,1943,1679
2059,1943,1679
2059,1942,1679
2058,1943,1676
2059,1941,1677
2060,1941,1677
2059,1940,1676
2059,1940,1676
2084,1940,1675
2060,1943,1675
2058,1941,1677
2059,1943,1678
2060,1945,1678
2061,1943,1678
2058,1943,1679
2061,1943,1680
2059,1943,1681
2060,1944,1680
2061,1944,1680
2059,1944,1679
2059,1941,1678
2059,1944,1677
2057,1943,1678
2058,1943,1679
2057,1941,1680
2057,1942,1679
2058,1943,1680
2055,1943,1678
2059,1942,1678
2059,1942,1677
2056,1944,1678
2061,1943,1679
2061,1945,1679
2061,1945,1677
2060,1944,1679
2058,1943,1679
2059,1944,1679
2058,1941,1677
2058,1942,1677
2057,1943,1676
2058,1943,1677
2054,1942,1677
2059,1944,1675
2060,1944,1677
2059,1942,1679
2057,1944,1679
2059,1945,1678
2066,1944,1679
2059,1945,1679
